"Date de déclaration du cas","Par lien épidémiologique","En laboratoire","Moyenne mobile (7 jours)"
"2020-02-24 00:00:00",0,0,0.14
"2020-02-25 00:00:00",0,1,0.29
"2020-02-26 00:00:00",0,0,0.29
"2020-02-27 00:00:00",0,0,0.43
"2020-02-28 00:00:00",0,1,0.86
"2020-02-29 00:00:00",0,0,1
"2020-03-01 00:00:00",1,0,1.29
"2020-03-02 00:00:00",0,3,1.43
"2020-03-03 00:00:00",0,2,1.57
"2020-03-04 00:00:00",0,2,1.57
"2020-03-05 00:00:00",0,1,1.57
"2020-03-06 00:00:00",0,2,1.29
"2020-03-07 00:00:00",0,0,1.29
"2020-03-08 00:00:00",0,1,2.43
"2020-03-09 00:00:00",0,1,3.14
"2020-03-10 00:00:00",1,1,3.43
"2020-03-11 00:00:00",0,10,6.14
"2020-03-12 00:00:00",0,6,7.86
"2020-03-13 00:00:00",0,4,10.14
"2020-03-14 00:00:00",0,19,16
"2020-03-15 00:00:00",0,13,20.43
"2020-03-16 00:00:00",0,17,30.14
"2020-03-17 00:00:00",0,43,48
"2020-03-18 00:00:00",1,40,71.86
"2020-03-19 00:00:00",0,74,104.14
"2020-03-20 00:00:00",8,121,151.14
"2020-03-21 00:00:00",2,184,183.43
"2020-03-22 00:00:00",1,238,230.29
"2020-03-23 00:00:00",8,338,272.14
"2020-03-24 00:00:00",10,259,318.29
"2020-03-25 00:00:00",7,362,351.57
"2020-03-26 00:00:00",5,362,398.86
"2020-03-27 00:00:00",3,449,432
"2020-03-28 00:00:00",8,411,497.71
"2020-03-29 00:00:00",15,555,545
"2020-03-30 00:00:00",44,534,617.57
"2020-03-31 00:00:00",48,681,663.29
"2020-04-01 00:00:00",55,645,718.29
"2020-04-02 00:00:00",72,803,727.29
"2020-04-03 00:00:00",81,691,770
"2020-04-04 00:00:00",109,695,778.57
"2020-04-05 00:00:00",83,550,776.71
"2020-04-06 00:00:00",87,790,758.57
"2020-04-07 00:00:00",77,712,739
"2020-04-08 00:00:00",83,604,719.14
"2020-04-09 00:00:00",101,647,741.43
"2020-04-10 00:00:00",86,549,753.71
"2020-04-11 00:00:00",77,588,778
"2020-04-12 00:00:00",81,708,836.43
"2020-04-13 00:00:00",97,866,867.57
"2020-04-14 00:00:00",126,833,923
"2020-04-15 00:00:00",230,866,923
"2020-04-16 00:00:00",116,850,927.29
"2020-04-17 00:00:00",162,861,919.43
"2020-04-18 00:00:00",109,556,897.43
"2020-04-19 00:00:00",94,725,867.43
"2020-04-20 00:00:00",155,753,859
"2020-04-21 00:00:00",113,692,834.86
"2020-04-22 00:00:00",136,750,848.43
"2020-04-23 00:00:00",148,759,819.43
"2020-04-24 00:00:00",131,723,819.71
"2020-04-25 00:00:00",92,668,836.43
"2020-04-26 00:00:00",89,527,838.14
"2020-04-27 00:00:00",122,788,852.14
"2020-04-28 00:00:00",129,793,880.57
"2020-04-29 00:00:00",121,777,900.43
"2020-04-30 00:00:00",111,894,925.29
"2020-05-01 00:00:00",116,937,918.71
"2020-05-02 00:00:00",87,812,914.29
"2020-05-03 00:00:00",79,711,933.43
"2020-05-04 00:00:00",110,754,911.57
"2020-05-05 00:00:00",126,765,871.71
"2020-05-06 00:00:00",126,906,850.86
